date,game,match_type,my_duration,rp_earned,premade_squad,squad_placed,teamate_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,meta_score,team_damage,team_kills,counter
11/03/2022,15,ranked,699,174,no,4,2,Ashe,Vantage,Bloodhound,1340,1098,1078,5,4,1,1,3516,10,1
11/06/2022,26,casual,907,0,no,1,2,Catalyst,Vantage,Loba,1441,1020,657,7,2,3,0,3118,12,2
11/06/2022,27,ranked,1333,152,no,3,2,Catalyst,Horizon,Seer,1098,733,718,2,2,3,2,2549,7,3
11/06/2022,31,ranked,665,37,no,6,2,Catalyst,Seer,Wraith,301,712,160,0,2,1,2,1173,3,4
11/06/2022,33,ranked,199,-25,no,14,2,Catalyst,Vantage,Bangalore,304,245,230,1,1,1,0,779,3,5
11/06/2022,34,ranked,141,-27,no,15,2,Bangalore,Wraith,Catalyst,170,265,156,0,1,0,1,591,1,6
11/06/2022,36,ranked,437,-27,no,14,2,Catalyst,Vantage,Wraith,60,314,237,0,1,0,1,611,1,7
11/06/2022,37,ranked,766,17,no,5,2,Catalyst,Caustic,Gibraltar,357,192,501,0,0,0,1,1050,0,8
11/06/2022,38,ranked,917,162,no,3,2,Pathfinder,Octane,Catalyst,761,486,497,2,1,4,0,1744,7,9
11/07/2022,39,casual ,205,0,no,13,2,Seer,Catalyst,Fuse,311,212,316,1,2,0,1,839,3,10
11/07/2022,42,casual ,58,0,no,19,2,Horizon,Caustic,Fuse,60,0,0,0,0,0,1,60,0,11
11/07/2022,43,casual ,235,0,no,11,2,Catalyst,Pathfinder,Horizon,192,150,0,0,1,0,1,342,1,12
11/07/2022,45,ranked,1043,216,yes,4,2,Horizon,Seer,Bloodhound,1365,1042,969,4,4,3,3,3376,11,13
11/07/2022,46,casual,228,0,no,10,2,Horizon,Bangalore,Lifeline,358,669,409,3,1,2,1,1436,6,14
11/07/2022,47,ranked,85,-31,no,19,2,Horizon,Vantage,Seer,132,90,123,0,0,0,2,345,0,15
11/07/2022,48,ranked,492,30,no,5,2,Pathfinder,Bloodhound,Horizon,112,49,329,0,0,1,2,490,1,16
11/07/2022,49,ranked,232,-30,no,14,2,Pathfinder,Horizon,Ashe,208,145,190,1,0,0,1,543,1,17
11/07/2022,51,ranked,701,21,no,7,2,Horizon,Newcastle,Seer,396,485,347,1,2,1,3,1228,4,18
11/07/2022,52,ranked,1212,236,yes,2,2,Horizon,Catalyst,Seer,1357,614,1043,6,1,1,2,3014,8,19
11/07/2022,53,ranked,498,-21,yes,10,2,Horizon,Wattson,Seer,563,46,283,0,0,0,2,892,0,20
11/07/2022,56,casual,598,0,yes,4,1,Horizon,Lifeline,Bloodhound,91,116,417,1,0,0,2,624,1,21
11/08/2022,57,casual,155,0,no,12,2,Loba,Horizon,Revenant,227,271,0,1,0,0,0,498,1,22
11/08/2022,58,casual,985,0,no,3,2,Catalyst,Wraith,Pathfinder,1268,1100,36,3,4,0,1,2404,7,23
11/08/2022,60,casual,146,0,no,15,2,Maggie,Pathfinder,Catalyst,288,233,232,0,0,0,0,753,0,24
11/09/2022,65,casual ,584,0,no,5,2,Newcastle,Wraith,Bloodhound,944,656,861,1,2,5,3,2461,8,25
11/09/2022,66,casual,98,0,no,17,2,Catalyst,Horizon,Octane,101,0,63,0,0,0,1,164,0,26
11/09/2022,67,casual,413,0,no,10,2,Vantage,Loba,Fuse,247,122,0,0,0,0,0,369,0,27
11/09/2022,68,casual,1019,0,no,2,2,Catalyst,Pathfinder,Caustic,1907,763,1198,4,2,5,0,3868,11,28
11/09/2022,69,casual,319,0,no,14,2,Catalyst,Seer,Valkyrie,505,228,426,1,0,0,2,1159,1,29
11/09/2022,70,casual,551,0,no,7,2,Pathfinder,Fuse,Mirage,516,523,329,2,2,1,-1,1368,5,30
11/09/2022,71,ranked,735,-30,no,6,2,Vantage,Gibraltar,Horizon,949,617,533,3,0,0,2,2099,3,31
11/09/2022,73,ranked,585,41,no,8,2,Vantage,Wraith,Octane,390,409,1050,0,3,3,1,1849,6,32
11/09/2022,75,ranked,626,49,no,8,2,Vantage,Valkyrie,Fuse,499,316,331,0,1,0,1,1146,1,33
11/09/2022,78,ranked,1312,306,no,1,2,Catalyst,Vantage,Seer,592,1209,1365,2,3,4,1,3166,9,34
11/09/2022,79,ranked,870,162,yes,5,2,Catalyst,Vantage,Seer,507,417,978,0,2,3,1,1902,5,35
11/09/2022,80,ranked,119,-34,yes,19,2,Pathfinder,Vantage,Seer,11,26,338,0,0,0,1,375,0,36
11/09/2022,82,ranked,894,51,no,5,2,Pathfinder,Catalyst,Bloodhound,782,958,385,1,3,0,1,2125,4,37
11/09/2022,83,ranked,589,-14,no,7,2,Vantage,Octane,Bloodhound,109,213,428,0,0,3,1,750,3,38
11/09/2022,84,ranked,151,-32,no,14,2,Vantage,Crypto,Wraith,416,75,148,1,0,1,1,639,2,39
